Title,Rating,Votes,Duration,Genre,URL
1. The Life of Chuck,7.7, (5.5K),1h 51m,"Drama, Fantasy, Sci-Fi",https://www.imdb.com/title/tt12908150/?ref_=sr_t_1
2. Friendship,7.1, (10K),1h 40m,Comedy,https://www.imdb.com/title/tt30505698/?ref_=sr_t_2
3. Heretic,7.0, (160K),1h 51m,"Psychological Horror, Psychological Thriller, Horror, Thriller",https://www.imdb.com/title/tt28015403/?ref_=sr_t_3
4. Anora,7.5, (202K),2h 19m,"Dark Comedy, Raunchy Comedy, Steamy Romance, Comedy, Drama, Romance",https://www.imdb.com/title/tt28607951/?ref_=sr_t_4
5. The Surfer,6.1, (8.3K),1h 40m,"Psychological Thriller, Thriller",https://www.imdb.com/title/tt27813235/?ref_=sr_t_5
6. The Substance,7.2, (317K),2h 21m,"Body Horror, Dark Comedy, Monster Horror, Psychological Horror, Showbiz Drama, Drama, Horror, Sci-Fi",https://www.imdb.com/title/tt17526714/?ref_=sr_t_6
7. The Unholy Trinity,6.1, (433),1h 35m,"Action, Adventure, Crime, Drama, Western",https://www.imdb.com/title/tt6300910/?ref_=sr_t_7
8. Conclave,7.4, (201K),2h,"Conspiracy Thriller, Drama, Thriller",https://www.imdb.com/title/tt20215234/?ref_=sr_t_8
9. Gladiator II,6.5, (251K),2h 28m,"Action Epic, Adventure Epic, Epic, Period Drama, Sword & Sandal, Action, Adventure, Drama",https://www.imdb.com/title/tt9218128/?ref_=sr_t_9
10. The Brutalist,7.3, (92K),3h 36m,"Epic, Drama",https://www.imdb.com/title/tt8999762/?ref_=sr_t_10
11. The Wild Robot,8.2, (180K),1h 42m,"Artificial Intelligence, Computer Animation, Survival, Animation, Sci-Fi",https://www.imdb.com/title/tt29623480/?ref_=sr_t_11
12. A Complete Unknown,7.3, (91K),2h 21m,"Docudrama, Period Drama, Showbiz Drama, Biography, Drama, Music",https://www.imdb.com/title/tt11563598/?ref_=sr_t_12
13. Nosferatu,7.2, (209K),2h 12m,"Dark Fantasy, Supernatural Horror, Vampire Horror, Fantasy, Horror, Mystery",https://www.imdb.com/title/tt5040012/?ref_=sr_t_13
14. Wicked,7.4, (168K),2h 40m,"Fairy Tale, Pop Musical, Fantasy, Musical, Romance",https://www.imdb.com/title/tt1262426/?ref_=sr_t_14
15. Parthenope,6.6, (14K),2h 17m,"Coming-of-Age, Drama, Fantasy",https://www.imdb.com/title/tt23853982/?ref_=sr_t_15
16. Presence,6.1, (28K),1h 24m,"Psychological Drama, Psychological Horror, Psychological Thriller, Drama, Horror, Thriller",https://www.imdb.com/title/tt28249919/?ref_=sr_t_16
17. The Assessment,6.6, (11K),1h 54m,"Dystopian Sci-Fi, Psychological Drama, Drama, Sci-Fi",https://www.imdb.com/title/tt32768323/?ref_=sr_t_17
18. Babygirl,5.8, (63K),1h 54m,"Erotic Thriller, Workplace Drama, Drama, Romance, Thriller",https://www.imdb.com/title/tt30057084/?ref_=sr_t_18
19. Dune: Part Two,8.5, (641K),2h 46m,"Action Epic, Desert Adventure, Epic, Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Drama, Sci-Fi",https://www.imdb.com/title/tt15239678/?ref_=sr_t_19
20. Venom: The Last Dance,6.0, (129K),1h 50m,"Alien Invasion, Kaiju, Road Trip, Superhero, Action, Adventure, Sci-Fi, Thriller",https://www.imdb.com/title/tt16366836/?ref_=sr_t_20
21. The Beekeeper,6.3, (162K),1h 45m,"Conspiracy Thriller, One-Person Army Action, Political Thriller, Action, Crime, Thriller",https://www.imdb.com/title/tt15314262/?ref_=sr_t_21
22. Civil War,7.0, (243K),1h 49m,"Political Thriller, Road Trip, Action, Thriller",https://www.imdb.com/title/tt17279496/?ref_=sr_t_22
23. Twisters,6.5, (175K),2h 2m,"Disaster, Action, Adventure, Thriller",https://www.imdb.com/title/tt12584954/?ref_=sr_t_23
24. The Shrouds,5.8, (3.4K),2h,"Body Horror, Drama, Horror, Sci-Fi, Thriller",https://www.imdb.com/title/tt20212786/?ref_=sr_t_24
25. Speak No Evil,6.8, (110K),1h 50m,"Psychological Drama, Psychological Horror, Psychological Thriller, Drama, Horror, Thriller",https://www.imdb.com/title/tt27534307/?ref_=sr_t_25
26. The Ministry of Ungentlemanly Warfare,6.8, (139K),2h 2m,"War Epic, Action, Comedy, War",https://www.imdb.com/title/tt5177120/?ref_=sr_t_26
27. Deadpool & Wolverine,7.5, (506K),2h 8m,"Buddy Comedy, Dark Comedy, Raunchy Comedy, Superhero, Action, Adventure, Comedy, Sci-Fi",https://www.imdb.com/title/tt6263850/?ref_=sr_t_27
28. Alien: Romulus,7.1, (253K),1h 59m,"Monster Horror, Space Sci-Fi, Horror, Sci-Fi, Thriller",https://www.imdb.com/title/tt18412256/?ref_=sr_t_28
29. A Real Pain,7.1, (104K),1h 30m,"Buddy Comedy, Comedy, Drama",https://www.imdb.com/title/tt21823606/?ref_=sr_t_29
30. I'm Still Here,8.2, (112K),2h 17m,"Docudrama, Period Drama, Political Drama, Biography, Drama, History",https://www.imdb.com/title/tt14961016/?ref_=sr_t_30
31. Kraven the Hunter,5.5, (63K),2h 7m,"One-Person Army Action, Superhero, Action, Adventure, Thriller",https://www.imdb.com/title/tt8790086/?ref_=sr_t_31
32. The Order,6.8, (49K),1h 56m,"Heist, True Crime, Crime, Drama, Thriller",https://www.imdb.com/title/tt26625693/?ref_=sr_t_32
33. Longlegs,6.6, (193K),1h 41m,"Psychological Horror, Psychological Thriller, Serial Killer, Supernatural Horror, Crime, Horror, Mystery, Thriller",https://www.imdb.com/title/tt23468450/?ref_=sr_t_33
34. Flow,7.9, (84K),1h 25m,"Animal Adventure, Computer Animation, Survival, Adventure, Animation, Family, Fantasy",https://www.imdb.com/title/tt4772188/?ref_=sr_t_34
35. Mufasa: The Lion King,6.6, (71K),1h 58m,"Animal Adventure, Computer Animation, Adventure, Animation, Drama, Family, Musical",https://www.imdb.com/title/tt13186482/?ref_=sr_t_35
36. Moana 2,6.6, (109K),1h 40m,"Computer Animation, Sea Adventure, Adventure, Animation, Comedy, Family, Fantasy, Musical",https://www.imdb.com/title/tt13622970/?ref_=sr_t_36
37. Beetlejuice Beetlejuice,6.6, (154K),1h 45m,"Body Horror, Dark Comedy, Dark Fantasy, Slapstick, Supernatural Fantasy, Supernatural Horror, Comedy, Fantasy, Horror",https://www.imdb.com/title/tt2049403/?ref_=sr_t_37
38. Carry-On,6.5, (171K),1h 59m,"Conspiracy Thriller, One-Person Army Action, Action, Crime, Holiday, Thriller",https://www.imdb.com/title/tt21382296/?ref_=sr_t_38
39. Smile 2,6.7, (113K),2h 7m,"Psychological Horror, Showbiz Drama, Supernatural Horror, Tragedy, Horror, Mystery, Thriller",https://www.imdb.com/title/tt29268110/?ref_=sr_t_39
40. Eden,6.6, (1.6K),2h,"Psychological Thriller, Thriller",https://www.imdb.com/title/tt23149780/?ref_=sr_t_40
41. The Salt Path,7.0, (2K),1h 55m,"Docudrama, Psychological Drama, Tragedy, Drama",https://www.imdb.com/title/tt27766440/?ref_=sr_t_41
42. My Old Ass,6.9, (41K),1h 29m,"Coming-of-Age, Comedy, Drama, Romance",https://www.imdb.com/title/tt18559464/?ref_=sr_t_42
43. The Fall Guy,6.8, (226K),2h 6m,"Action, Comedy, Drama, Romance",https://www.imdb.com/title/tt1684562/?ref_=sr_t_43
44. Furiosa: A Mad Max Saga,7.5, (291K),2h 28m,"Action Epic, Car Action, Desert Adventure, Dystopian Sci-Fi, Action, Adventure, Sci-Fi",https://www.imdb.com/title/tt12037194/?ref_=sr_t_44
45. We Live in Time,7.0, (56K),1h 48m,"Feel-Good Romance, Drama, Romance",https://www.imdb.com/title/tt27131358/?ref_=sr_t_45
46. Trap,5.8, (145K),1h 45m,"Psychological Horror, Psychological Thriller, Serial Killer, Crime, Horror, Mystery, Thriller",https://www.imdb.com/title/tt26753003/?ref_=sr_t_46
47. Madame Web,4.1, (103K),1h 56m,"Superhero, Action, Thriller",https://www.imdb.com/title/tt11057302/?ref_=sr_t_47
48. Small Things Like These,6.7, (27K),1h 38m,"Period Drama, Drama, History",https://www.imdb.com/title/tt27196021/?ref_=sr_t_48
49. Blink Twice,6.5, (111K),1h 42m,"Psychological Thriller, Whodunnit, Mystery, Thriller",https://www.imdb.com/title/tt14858658/?ref_=sr_t_49
50. Freaky Tales,6.2, (7.2K),1h 47m,"Action, Adventure, Comedy, Crime, Drama",https://www.imdb.com/title/tt21942598/?ref_=sr_t_50
